X;Y;osm_id;NAZWA
16.5042143;50.9003623;2656816048;Przystanek autobusowy - kierunek ?widnica
17.5968616;53.1068908;2656900652;
16.9931854;52.3691546;2705687397;?opawska
16.8621531;52.395171;2705800135;Stadion Miejski
16.5096475;51.4376609;2706296330;
20.8444508;49.8913083;2706785219;
15.800139;53.4925218;2840685184;
15.7132072;53.0459553;2840694928;
15.7447031;53.0487594;2840694930;
15.7881372;53.0791696;2840694931;
18.5766546;54.2744906;2841297132;Straszyn Poprzeczna
17.6657222;50.105355;2842084372;Krnov - Chomó? - Okru?nó 2
15.6520525;54.0969899;2842645191;Pustary
19.9643928;50.0998544;2912473590;Os. Gotyk 01
19.9643171;50.1016748;2912473591;Banacha 03
21.8913368;50.64731;2912541441;Zaleszany 01
16.4293796;50.7616015;2913472570;Lubachów III
15.7411584;53.99149;2913940382;Go?cinko
16.2665714;54.1334762;2913940714;
17.0161892;52.3298502;2914228292;Jaryszki Sk?adowa n/ż
17.0161024;52.3298784;2914228293;Jaryszki Sk?adowa n/ż
17.0160475;52.3298961;2914228294;Jaryszki Sk?adowa n/ż
18.4690656;54.4293296;2914981194;Siedleckiego 02
18.4696999;54.4299206;2914981195;Siedleckiego
21.3608571;50.0172256;2915055725;
18.5690628;54.3994165;2915105692;Ba?y?skiego 06
17.0750004;52.4046425;3012927573;Swarz?dz Dworzec PKP
17.6209904;51.8190829;3013801506;Ko?miniec (sala wiejska)
17.6208806;51.8197099;3013801539;Ko?miniec (sala wiejska)
21.163129;51.3727741;3014072356;Os. Pr?docinek
21.1290316;51.379968;3016750590;Wierzbicka / Toru?ska
15.1144197;54.1024258;3017170567;Pogorzelica Wojska Polskiego
23.4538369;51.1153985;3028695201;
16.1449969;54.1966249;3161835271;ZORD
16.1450872;54.1966934;3161835272;ZORD
17.3504573;52.3047119;3264516223;
17.370344;52.3199885;3264516790;
15.0220987;51.152788;3266819781;Armii Krajowej
20.9189871;49.3836569;3326463270;
20.8262079;49.385045;3326463564;?egiestów Palenica
20.913153;49.387107;3326464002;
20.9131969;49.3871535;3326464006;
20.9073149;49.3900337;3326464547;
20.9072821;49.3900877;3326464550;
20.8612132;49.3941085;3326465053;
22.9154742;50.0237357;3416626105;
20.1454562;49.9343004;3431668010;
19.2670555;50.7450505;3438034262;Olsztyn Napoleona
22.0046338;50.0422675;3438232077;
16.6068584;52.5819825;3438440189;
16.8583935;52.3923585;3439019302;W?gorka n/ż
19.9457523;49.9345281;3439334168;?wi?tniki Górne Urząd Miasta i Gminy
17.1713628;52.4687568;3442096284;
23.1805491;53.127881;3563639146;Warszawska/Piastowska
19.1996149;53.7552908;3563997561;Grunwaldzka
19.8157262;49.2597185;3564234173;2 - Kolejka Rako?
19.8409179;49.2821658;3564241303;1 - Kolejka Rako?
21.0973058;52.1231902;3566189098;Andrutowa 04
19.6688116;52.5574766;3566575205;
19.6792697;52.5583173;3566575273;
19.6768384;52.5584423;3566575409;
