X;Y;osm_id;NAZWA
18.1455625;52.727401;2393872750;
18.156915;52.7213323;2393872753;
18.191579;52.733718;2393883623;
14.4504536;53.1690287;2394468579;
14.4514359;53.1697177;2394468580;
15.8070481;52.7771872;2394635605;R?pin
18.0783486;50.3545172;2396355097;Komorno
14.7780376;53.968567;2396515863;
14.8117824;54.0166343;2396515867;Wrzosowo - Rondo
20.6141194;52.0615683;6964700540;Mo?ciska Rondo
20.5360269;52.1621687;6964700564;Karolina Młyn
20.5529623;52.162065;6964700565;Karolina
20.4547922;52.1544495;6964700580;Pu?apina Stara
20.4594428;52.1471647;6964700582;Pu?apina Nowa
18.877323;50.3978025;6964948790;Stroszek Osiedle
21.129823;49.9425702;6965158396;Zalasowa ? ul. Tarnowska - ul. Ogrodowa
21.1073826;49.9868735;6965158398;Szynwa?d ? Skrzyszów Granica
18.3498549;54.4095835;6966927447;
20.2321644;52.6280051;6967381286;Drzer???nia Urząd Gminy
18.6056401;51.2297324;10671684888;Widoradz Zielona Weranda
14.7526291;54.0234508;2396515869;Dziwnów Wybrze?e Ko?ciuszkowskie
14.6936584;54.0041593;2396515873;Miedzywodzie - ul. Armii Krajowej
14.6295714;53.9840791;2396515875;?wi?tou??
18.1717704;51.6452875;2396623544;
18.1611761;51.6656385;2396623574;
15.4159127;51.9841087;2396625849;
15.4149083;51.9844626;2396625853;
15.3724545;52.8124893;2396790761;Jezioro Nierzym
21.727762;49.6042244;2396958192;Równe Kopalnia
16.9651872;52.5413581;2397252280;Promnice/Pó?nocna
16.972497;52.5415337;2397252301;Bolechowo-Osiedle/Wojska Polskiego
22.7849754;51.1571054;2397277572;
22.7069077;51.1896574;2397277601;
22.7293112;51.1809564;2397277818;
21.2491544;50.2725132;2397634753;
20.9939486;52.1802649;6969117346;Wynalazek 02
22.3854992;51.9257493;6969956357;Cieszkowizna 01
22.3809378;51.9231691;6969956360;700 - Lecia 02
22.3730263;51.9260599;6969956363;Hempla 01
22.3723191;51.9259145;6969956364;Hempla 02
22.3662584;51.9256118;6969956365;Warszawska 01
22.3652973;51.924896;6969956366;Warszawska 02
22.3657396;51.9213971;6969956367;Struga 01
