X;Y;osm_id;NAZWA
18.582188;50.0328748;9509006131;?wierklany Piekarnia
17.8661567;53.1284394;9509440750;Lisi Ogon / Potulicka32 / Hubertusa
14.8803402;53.5680508;9510182421;
14.8803183;53.5729908;9510182422;
14.8635256;53.5643034;9510430331;
18.0634466;53.2907972;9510471268;
18.5232259;50.1397446;9510576793;Rybnik Grabownia Sklep
18.67817;51.2398054;9510601571;Sieniec Szkoła
22.8316194;51.4916089;9511115087;
22.8332721;51.4915774;9511115088;
17.0589591;53.1022794;9512960703;
17.015609;52.0915233;9514030721;Szkolny
20.7229393;50.9328987;9514055332;Dolina Marczakowa IV
20.740452;50.9155021;9514055334;Mas?ów Drugi / Krajobrazowa
20.7296961;50.9071778;9514055335;Mas?ów Pierwszy / Kościół
20.6314448;50.7850634;9514099535;Bilcza / Poziomkowa
20.6316589;50.78758;9514099536;Bilcza / Jana Paw?a II
20.6317758;50.7876262;9514099537;Bilcza / Jana Paw?a II
17.0282068;52.0795617;9514706970;
17.0269414;52.0815145;9514706989;
16.6411423;52.4178961;9514877712;Lusówko/Storczyka n/ż
21.8733782;52.7985794;11414918341;Ró?a?ska ROLSTAL 01
21.8742902;52.7985273;11414918342;Ró?a?ska ROLSTAL 02
21.8801336;52.7969397;11414918345;Rataja Ró?a?ska 01
21.8802384;52.7968121;11414918346;Rataja Ró?a?ska 02
21.8805804;52.7951168;11414918349;Pasterska Kościół 01
21.8803108;52.7948895;11414918350;Pasterska Kościół 02
21.8762832;52.7931856;11414918353;Pasterska Dobra 02
21.8766252;52.7934819;11414918354;Pasterska Dobra 01
21.8762013;52.7919717;11414918356;Warszawska Ga?czy?skiego 01
21.8759049;52.7916994;11414918357;Warszawska Ga?czy?skiego 02
21.8733425;52.788736;11414918361;Przeskok S?onimskiego 01
21.8735153;52.7887318;11414918362;Przeskok S?onimskiego 02
21.8750097;52.7889479;11414918364;Leśna I??akowiczówny 02
21.8754767;52.7891004;11414918366;Leśna I??akowiczówny 01
21.8786957;52.7942219;11414931917;NA ??DANIE - Pasterska 02
21.8791287;52.7900814;11414939269;Staffa Makuszy?skiego 02
21.879706;52.7898343;11414939270;Staffa Makuszy?skiego 01
21.8810298;52.7903514;11414939271;Brokowska Wydzia? Komunikacji 01
21.8808687;52.7904418;11414939274;Brokowska Wydzia? Komunikacji 02
21.8877037;52.7975938;11414939276;3 Maja Staw 02
21.8893748;52.7986893;11414939277;3 Maja SP 1 01
19.7172869;51.9530666;4680685489;Sikorskiego (Ryneczek)
19.7166767;51.9536677;4680685490;Sikorskiego (Ryneczek)
19.7213582;51.9490922;4680685491;Sikorskiego (Mit-Mar)
19.7204133;51.9500036;4680685492;Sikorskiego (Mit-Mar)
18.5938804;50.0733231;9516584996;Rybnik Boguszowice Stare Raszowiec
17.0187745;52.086798;9517404454;
17.0188422;52.0867581;9517404479;
17.0189083;52.0867192;9517404481;
17.0191544;52.0865741;9517404489;
17.0192177;52.0865368;9517404491;
19.3001105;51.6551674;9517423381;Podmiejska
20.1658947;51.5537138;9517522417;
17.5056654;54.1836781;9519504791;Gda?ska - Kościół
20.1479056;51.5397102;9520143917;
17.112429;54.4355459;9520249254;G?obino - O?rodek Zdrowia
17.4109256;54.3001176;9520249615;
18.8723149;49.8804213;11415392927;Landek Sklep
20.0664553;50.0782637;11415725687;Kombinat 09
17.1991549;54.0403059;11415752633;
16.9881049;54.107218;11415881642;
21.9003749;52.8105672;11416888949;Ptasia Wile?ska 02
21.8970543;52.8121606;11416888951;Z?otych K?osów Ptasia 02
21.9006595;52.8141025;11416888953;Pó?nocna Chabrowa 02
21.9023781;52.8124456;11416888955;Wile?ska Zachodnia 02
21.8985113;52.8076948;11416888957;Wile?ska Armii Krajowej 02
21.9062915;52.8033642;11416888959;Sportowa 2 02
21.906539;52.8034093;11416888960;Sportowa 2 01
21.6170669;52.1610644;11416983533;Budy Barcz?ckie
21.9121994;52.7998163;11417001372;Szpital 01
19.724557;51.9461401;4680685493;Sikorskiego (Urząd Skarbowy)
19.7350691;51.9469203;4680685494;Huta Józefów (Stadion)
19.7319478;51.951613;4680712058;Kopernika (Fabryka Szlifierek)
19.6981315;51.9592892;4680712059;Zabrze?nia?ska (Kiosk)
19.6919868;51.9590609;4680712060;Zabrze?nia?ska/Po?udniowa
19.6798167;51.961377;4680712062;Karasicka (DPS)
19.6915412;51.961791;4680712063;Karasicka (Kościół)
16.9759375;51.1103988;9628654816;
16.9755225;51.1105079;9628664717;
14.6477396;51.7583184;9629353804;Krematorium
14.6001911;51.8016812;9629353805;Briesnig Mitte
14.6508653;51.7318025;9629373231;Max-Mattig-Weg
14.6516604;51.7311874;9629373233;Max-Mattig-Weg
14.6508678;51.7294971;9629373241;Skurumer Straóe
14.7552181;51.6189566;9629373251;Zelz
14.7452989;51.6396221;9629373253;Zelz-Bahren
14.681789;51.7058228;9629373256;Keune Ausbau
14.6821686;51.7058409;9629373258;Keune Ausbau
14.6564536;51.7208249;9629373266;Dornbuschweg
14.6565985;51.7209147;9629373268;Dornbuschweg
19.3874783;54.1953718;9630136183;Meble Wójcik
17.6759682;50.411589;9631229135;
17.705588;50.4077877;9631229145;
18.9768557;50.372664;9631960938;Bobrowniki Rondo
22.2001244;51.2105669;9632209707;
18.9675512;50.3458275;9632246011;Brzeziny ?l?skie EkoPark
21.0665907;52.3419153;9633716248;Augustówek 01
20.1667339;50.8498999;9633909454;
21.9143212;52.7981126;11417001375;Szpital Pogotowie 01
21.9140293;52.7981576;11417001376;Szpital Pogotowie 02
