stop_id,LOKALNYID
185109,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187179,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187908,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185315,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185378,38F62224-BC0B-F520-E053-CA2BA8C0BE14
284224,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185799,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186714,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184656,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185307,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185698,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187579,38F62224-BC0B-F520-E053-CA2BA8C0BE14
284225,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187607,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185379,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185693,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188379,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188811,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184888,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187627,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188343,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188422,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185578,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185577,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185579,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184249,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186118,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186116,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186425,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188008,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188344,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185046,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184790,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187733,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185116,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188699,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186468,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184917,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312294,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312295,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188313,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185166,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188314,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185322,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185572,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185575,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184973,38F62224-BC0B-F520-E053-CA2BA8C0BE14
311340,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185047,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187425,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188551,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187010,38F62224-BC0B-F520-E053-CA2BA8C0BE14
311599,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187009,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185484,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185952,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184970,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187002,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184804,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187764,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184971,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185866,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186414,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188151,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187241,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184803,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186896,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184805,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185581,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187628,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185256,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185332,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187625,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184320,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312567,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312568,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312569,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312580,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186467,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185138,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188815,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186964,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312617,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188816,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188814,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186462,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186049,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185137,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186048,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187466,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187465,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188721,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188768,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188772,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185136,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185135,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188531,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188532,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312566,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188434,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184281,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312480,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312481,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185386,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184663,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188454,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185910,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184321,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312546,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188455,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185636,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312565,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185879,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188427,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184322,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312563,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188429,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185911,38F62224-BC0B-F520-E053-CA2BA8C0BE14
312564,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188431,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186130,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188432,38F62224-BC0B-F520-E053-CA2BA8C0BE14
284212,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313543,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184401,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185261,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185725,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185723,38F62224-BC0B-F520-E053-CA2BA8C0BE14
283959,38F62224-BC0B-F520-E053-CA2BA8C0BE14
283958,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187376,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185719,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184930,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185642,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185711,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185650,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185588,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185382,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185727,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185648,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185755,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185631,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185628,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186448,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187669,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187808,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185728,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185724,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184931,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184925,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186032,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184247,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184473,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184645,38F62224-BC0B-F520-E053-CA2BA8C0BE14
314798,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184825,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185497,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184741,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188507,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184747,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184496,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184748,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185779,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184769,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185596,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184246,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184770,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188290,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184771,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184979,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184799,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184981,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185796,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184564,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187809,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188604,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184431,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186961,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185383,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188350,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186998,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187509,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187204,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184432,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184433,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187498,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315141,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184435,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315142,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315147,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315148,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185529,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315154,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315155,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315156,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185621,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184605,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315187,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187195,38F62224-BC0B-F520-E053-CA2BA8C0BE14
315275,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187518,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185472,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188349,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188347,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188308,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185298,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185225,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185384,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185224,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184434,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184984,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185712,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185754,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187600,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185377,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185726,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188345,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185358,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185352,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186631,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187149,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185354,38F62224-BC0B-F520-E053-CA2BA8C0BE14
188309,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184430,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185169,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185357,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185396,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185967,38F62224-BC0B-F520-E053-CA2BA8C0BE14
314796,38F62224-BC0B-F520-E053-CA2BA8C0BE14
314765,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184290,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187962,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187920,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313801,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187917,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187919,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186827,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187916,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187915,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313921,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313944,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313945,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184330,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313946,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184331,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184449,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313990,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187922,38F62224-BC0B-F520-E053-CA2BA8C0BE14
314048,38F62224-BC0B-F520-E053-CA2BA8C0BE14
184728,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186843,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186858,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185305,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187923,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187925,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187926,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187526,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186532,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187660,38F62224-BC0B-F520-E053-CA2BA8C0BE14
313544,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185793,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185792,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185791,38F62224-BC0B-F520-E053-CA2BA8C0BE14
186019,38F62224-BC0B-F520-E053-CA2BA8C0BE14
185789,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187357,38F62224-BC0B-F520-E053-CA2BA8C0BE14
187663,38F62224-BC0B-F520-E053-CA2BA8C0BE14
