LOKALNYID,TERYT,IDTERC,IDSIMC,IDPRNG,NAZWA,RODZAJ,LICZ_MIESZ,lat,lon
289CD375-9593-317C-E053-CC2BA8C05C73,1201,1201011,0981759,50822,Karolina,część miasta,1100.0,49.97982683586791,20.44955280566599
289CD375-9594-317C-E053-CC2BA8C05C73,1201,1201032,1066768,202508,Cierniaczka,część wsi,83.0,50.11188076987906,20.385272721902506
289CD375-9595-317C-E053-CC2BA8C05C73,1201,1201032,0317458,80352,Mikluszowice,wieś,896.0,50.065863384253234,20.47304253732609
289CD375-9596-317C-E053-CC2BA8C05C73,1201,1201082,0838938,97952,Pasternik,część wsi,15.0,49.83559562317916,20.381645293157703
289CD375-9597-317C-E053-CC2BA8C05C73,1201,1201092,0839211,188680,Dział,część wsi,45.0,49.784766867089836,20.422932498999796
289CD375-95DF-317C-E053-CC2BA8C05C73,1201,1201082,0838708,119722,Rzeki,część wsi,28.0,49.80814683058797,20.3613195056372
289CD375-95E0-317C-E053-CC2BA8C05C73,1201,1201052,0823144,121699,Sicie,część wsi,48.0,49.83298345357175,20.271741619172598
289CD375-95E1-317C-E053-CC2BA8C05C73,1201,1201022,0999825,13377,Bukowina,przysiółek,8.0,49.929556683194065,20.362964258200826
289CD375-95E2-317C-E053-CC2BA8C05C73,1201,1201072,0830109,199318,Podjasień,część wsi,25.0,49.963576557601975,20.539218104951
289CD375-95E3-317C-E053-CC2BA8C05C73,1201,1201082,0838921,168260,Pańskie,część wsi,3.0,49.844567830620285,20.406123741834815
289CD375-962A-317C-E053-CC2BA8C05C73,1201,1201042,0822133,29938,Fielków,część wsi,88.0,49.82679511009977,20.48578729927379
289CD375-962E-317C-E053-CC2BA8C05C73,1201,1201032,0317263,188337,Ług,część wsi,33.0,50.05598540392891,20.454904455024554
289CD375-962B-317C-E053-CC2BA8C05C73,1201,1201022,0812778,125791,Smyków,część wsi,45.0,50.04050896941252,20.486803854073905
289CD375-962C-317C-E053-CC2BA8C05C73,1201,1201052,0823902,150497,Wolica,wieś,317.0,49.85836460921764,20.26893786317239
289CD375-962D-317C-E053-CC2BA8C05C73,1201,1201032,0317429,42586,Ispina,wieś,388.0,50.10832477572183,20.373552047666205
