LOKALNYID,TERYT,IDTERC,IDSIMC,IDPRNG,NAZWA,RODZAJ,LICZ_MIESZ,lat,lon
2E3B6C08-5C6F-FE03-E053-CC2BA8C0F241,1601,1601052,0498626,84588,Myśliborzyce,wieś,187.0,50.90526074116437,17.48101789644384
2E3B6C08-5C70-FE03-E053-CC2BA8C0F241,1601,1601043,0498112,87532,Niwy,przysiółek,6.0,50.73278740058042,17.69800851832164
2E3B6C08-5C71-FE03-E053-CC2BA8C0F241,1601,1601062,0500582,44216,Janów,wieś,253.0,50.78639133147204,17.520692550577575
2E3B6C08-5CAE-FE03-E053-CC2BA8C0F241,1601,1601022,0492084,161167,Zielęcice,wieś,479.0,50.864348087492736,17.409500988429745
2E3B6C08-5CAF-FE03-E053-CC2BA8C0F241,1601,1601052,0498520,162093,Złotówka,osada,18.0,50.88821045020827,17.54121789957369
2E3B6C08-5C72-FE03-E053-CC2BA8C0F241,1601,1601062,0500607,79339,Michałów,wieś,466.0,50.74129226126991,17.50804302399266
2E3B6C08-5C73-FE03-E053-CC2BA8C0F241,1601,1601043,0498218,88484,Nowa Wieś Mała,wieś,243.0,50.76016311098454,17.57153748689376
2E3B6C08-5C74-FE03-E053-CC2BA8C0F241,1601,1601052,0498649,90353,Nowy Świat,wieś,154.0,50.926376641733775,17.606583248575443
2E3B6C08-5CB0-FE03-E053-CC2BA8C0F241,1601,1601033,0495310,115989,Rogów,wieś,35.0,50.63473924441763,17.249605748812577
2E3B6C08-5CB1-FE03-E053-CC2BA8C0F241,1601,1601033,0495102,32555,Gierów,wieś,181.0,50.656352531742314,17.252400076166523
2E3B6C08-5C75-FE03-E053-CC2BA8C0F241,1601,1601062,0500599,64044,Krzyżowice,wieś,540.0,50.81220857976042,17.459303637382504
2E3B6C08-5C76-FE03-E053-CC2BA8C0F241,1601,1601062,0500620,92522,Olszanka,wieś,458.0,50.79273290334532,17.47656002818266
2E3B6C08-5CB2-FE03-E053-CC2BA8C0F241,1601,1601033,0495177,47006,Jędrzejów,wieś,513.0,50.66188383340451,17.31466600750748
2E3B6C08-5CB3-FE03-E053-CC2BA8C0F241,1601,1601052,0498661,101604,Pisarzowice,wieś,668.0,50.88544275381535,17.468053420951925
2E3B6C08-5CB4-FE03-E053-CC2BA8C0F241,1601,1601052,0498550,59488,Kościerzyce,wieś,1054.0,50.8660254778023,17.524426277048438
2E3B6C08-5CB5-FE03-E053-CC2BA8C0F241,1601,1601052,0498589,70509,Lubsza,wieś,1454.0,50.924673652018434,17.535489653629
2E3B6C08-5CB6-FE03-E053-CC2BA8C0F241,1601,1601052,0498537,24956,Dobrzyń,wieś,533.0,50.961968674629645,17.493750158995766
2E3B6C08-5CB7-FE03-E053-CC2BA8C0F241,1601,1601022,0492032,76989,Małujowice,wieś,415.0,50.85207127778309,17.380992933880695
2E3B6C08-5C77-FE03-E053-CC2BA8C0F241,1601,1601062,0500613,90817,Obórki,wieś,295.0,50.7941054586779,17.42852432885467
2E3B6C08-5C78-FE03-E053-CC2BA8C0F241,1601,1601022,0492049,98611,Pawłów,wieś,427.0,50.83647337640871,17.507227244091307
2E3B6C08-5C79-FE03-E053-CC2BA8C0F241,1601,1601062,0500553,20644,Czeska Wieś,wieś,384.0,50.748383363646845,17.48248113491063
2E3B6C08-5C7A-FE03-E053-CC2BA8C0F241,1601,1601033,0495289,94323,Osiek Grodkowski,wieś,338.0,50.713175933869586,17.47657006725836
2E3B6C08-5CB8-FE03-E053-CC2BA8C0F241,1601,1601022,0492090,162456,Zwanowice,wieś,359.0,50.818032889521,17.58215736983737
2E3B6C08-5CB9-FE03-E053-CC2BA8C0F241,1601,1601043,0965737,16303,Chorzelin,część miasta,20.0,50.760353250709066,17.647184248263002
2E3B6C08-5CBA-FE03-E053-CC2BA8C0F241,1601,1601033,0495250,80411,Mikołajowa,wieś,115.0,50.67421534602092,17.251319567854363
2E3B6C08-5CBB-FE03-E053-CC2BA8C0F241,1601,1601033,0495094,31415,Gałązczyce,wieś,417.0,50.687534071544576,17.28072050965219
2E3B6C08-5C7B-FE03-E053-CC2BA8C0F241,1601,1601033,0495295,141115,Leśnica,przysiółek,15.0,50.70760098230936,17.48752703601859
2E3B6C08-5C7C-FE03-E053-CC2BA8C0F241,1601,1601033,0495148,175710,Golka,przysiółek,3.0,50.699370807921305,17.44978923366497
2E3B6C08-5C7D-FE03-E053-CC2BA8C0F241,1601,1601062,0500636,106748,Pogorzela,wieś,542.0,50.778236149685064,17.49042873021274
2E3B6C08-5C7E-FE03-E053-CC2BA8C0F241,1601,1601033,0495220,67720,Lesie,przysiółek,63.0,50.65767215909099,17.4356090496504
2E3B6C08-5C7F-FE03-E053-CC2BA8C0F241,1601,1601022,0491989,10994,Brzezina,wieś,547.0,50.88806350366471,17.4273812977827
2E3B6C08-5C80-FE03-E053-CC2BA8C0F241,1601,1601022,0492061,110072,Prędocin,wieś,185.0,50.843795191491566,17.573169831275752
2E3B6C08-5C81-FE03-E053-CC2BA8C0F241,1601,1601011,0965252,10771,Brzeg,miasto,31890.0,50.85825461343263,17.46375465306989
2E3B6C08-5C82-FE03-E053-CC2BA8C0F241,1601,1601033,0965418,109830,Półwiosek,część miasta,94.0,50.69016421717844,17.365306574857613
2E3B6C08-5CBC-FE03-E053-CC2BA8C0F241,1601,1601033,0495160,46455,Jeszkotle,wieś,166.0,50.70543955946735,17.24325164570595
2E3B6C08-5CBD-FE03-E053-CC2BA8C0F241,1601,1601022,0492078,123361,Skarbimierz,wieś,228.0,50.849819394613775,17.4331317106732
2E3B6C08-5C83-FE03-E053-CC2BA8C0F241,1601,1601022,0492055,99069,Pępice,wieś,319.0,50.82165809980016,17.41073710893271
2E3B6C08-5C84-FE03-E053-CC2BA8C0F241,1601,1601043,0498201,99299,Piaski,przysiółek,32.0,50.77432371399554,17.715498707142032
2E3B6C08-5C85-FE03-E053-CC2BA8C0F241,1601,1601043,1062167,199766,Wróblin,część miasta,,50.74930438234333,17.629923679437457
2E3B6C08-5CBE-FE03-E053-CC2BA8C0F241,1601,1601022,0990280,175709,Skarbimierz-Osiedle,osiedle,2420.0,50.83924866065214,17.410381723499206
2E3B6C08-5CBF-FE03-E053-CC2BA8C0F241,1601,1601022,0492115,163826,Żłobizna,wieś,889.0,50.834316655938956,17.460649139459388
2E3B6C08-5CC0-FE03-E053-CC2BA8C0F241,1601,1601043,0498141,16587,Chróścina,wieś,274.0,50.76664583616974,17.688172720290428
2E3B6C08-5C86-FE03-E053-CC2BA8C0F241,1601,1601033,0495378,146962,Wierzbnik,wieś,431.0,50.75993955699545,17.383801384619442
2E3B6C08-5C87-FE03-E053-CC2BA8C0F241,1601,1601033,0495384,30400,Polana,wieś,71.0,50.731956583222264,17.38383778521647
2E3B6C08-5C88-FE03-E053-CC2BA8C0F241,1601,1601033,0495214,23043,Dębina,przysiółek,5.0,50.66844642345795,17.475513009276455
2E3B6C08-5CC1-FE03-E053-CC2BA8C0F241,1601,1601052,0498508,19966,Czepielowice,wieś,666.0,50.88248041519365,17.560080717483984
