LOKALNYID,TERYT,IDTERC,IDSIMC,IDPRNG,NAZWA,RODZAJ,LICZ_MIESZ,lat,lon
289CBEB5-D8BB-0E14-E053-CC2BA8C0D310,0801,0801052,0182640,60610,Kozin,wieś,140.0,52.85381824906692,14.962967961091985
289CBEB5-D8F5-0E14-E053-CC2BA8C0D310,0801,0801062,0186690,102473,Płomykowo,wieś,202.0,52.763476925707444,15.443242098568932
289CBEB5-D90B-0E14-E053-CC2BA8C0D310,0801,0801052,0182700,78069,Marwice,wieś,525.0,52.77034038407423,15.106896963796284
289CBEB5-D8F0-0E14-E053-CC2BA8C0D310,0801,0801073,0935794,148866,Witnica,miasto,6150.0,52.677655779617794,14.891115065852254
289CBEB5-D8A4-0E14-E053-CC2BA8C0D310,0801,0801052,0182797,136729,Ściechów,wieś,630.0,52.81690385381253,14.99110808793644
289CBEB5-D8AB-0E14-E053-CC2BA8C0D310,0801,0801073,1063468,201338,Witniczka,kolonia,,52.651565031670216,14.893930056187303
289CBEB5-D91E-0E14-E053-CC2BA8C0D310,0801,0801032,0179660,102492,Płonica,wieś,187.0,52.64615503238586,15.190585743651328
289CBEB5-D8EA-0E14-E053-CC2BA8C0D310,0801,0801032,0179536,62608,Krupczyn,przysiółek,,52.65934002637537,15.349410649143117
289CBEB5-D8D5-0E14-E053-CC2BA8C0D310,0801,0801073,0188305,83436,Mosina,wieś,182.0,52.73715266075531,14.870935151128585
289CBEB5-D8C5-0E14-E053-CC2BA8C0D310,0801,0801073,0188370,92087,Oksza,wieś,59.0,52.62833837727948,14.937985247415618
289CBEB5-D8A2-0E14-E053-CC2BA8C0D310,0801,0801052,0182567,1646,Baczyna,wieś,1584.0,52.746790288541305,15.112319636278022
289CBEB5-D915-0E14-E053-CC2BA8C0D310,0801,0801062,0186648,68779,Lipki Małe,wieś,46.0,52.758821121712536,15.540708314283368
289CBEB5-D8E0-0E14-E053-CC2BA8C0D310,0801,0801022,0178790,63544,Krzyszczynka,wieś,74.0,52.630111642249936,15.090198177006792
289CBEB5-D909-0E14-E053-CC2BA8C0D310,0801,0801022,0178703,16946,Chwałowice,wieś,322.0,52.65359353455098,15.131193441393828
289CBEB5-D8A9-0E14-E053-CC2BA8C0D310,0801,0801062,0186631,45241,Jastrzębnik,wieś,212.0,52.74017587236665,15.581358382582867
289CBEB5-D91A-0E14-E053-CC2BA8C0D310,0801,0801042,0181846,158280,Zamoksze,osada leśna,29.0,52.811710846909044,15.196930025197723
289CBEB5-D908-0E14-E053-CC2BA8C0D310,0801,0801073,0188239,4495,Białczyk,wieś,297.0,52.64837324033195,14.90427187331614
289CBEB5-D8E5-0E14-E053-CC2BA8C0D310,0801,0801052,0182662,70286,Lubiszyn,wieś,734.0,52.77528206535841,14.955421996518218
289CBEB5-D8AF-0E14-E053-CC2BA8C0D310,0801,0801062,0186683,89082,Nowe Polichno,wieś,125.0,52.72272068376372,15.464145687348655
289CBEB5-D8B4-0E14-E053-CC2BA8C0D310,0801,0801052,0182811,136731,Ściechów Górny,część wsi,,52.81901481724763,15.031062548962103
289CBEB5-D8B5-0E14-E053-CC2BA8C0D310,0801,0801022,0178778,46942,Jeżyki,wieś,200.0,52.68284861218663,15.164408851690453
289CBEB5-D8B6-0E14-E053-CC2BA8C0D310,0801,0801062,0186708,120749,Santok,wieś,794.0,52.74362982650768,15.44019634058137
289CBEB5-D8F6-0E14-E053-CC2BA8C0D310,0801,0801011,0179000,136163,Szumiłowo,część miasta,,52.623528958527416,14.58748608022443
cb70ca25-8183-452c-9ad6-6112a738c25a,0801,0801052,0182739,84496,Mystki,wieś,124.0,52.83075238691311,14.874627522197455
