LOKALNYID,TERYT,IDTERC,IDSIMC,IDPRNG,NAZWA,RODZAJ,LICZ_MIESZ,lat,lon
29D604F1-F43B-49E1-E053-CA2BA8C0A7F1,1401,1401052,0638719,190091,Folwarczne,część wsi,15.0,51.68273729964692,21.0939076180713
29D604F1-F43C-49E1-E053-CA2BA8C0A7F1,1401,1401052,0638895,75444,Majdan,osada,5.0,51.68855582876268,21.071595415954445
29D604F1-F43D-49E1-E053-CA2BA8C0A7F1,1401,1401052,0638725,190093,Ogrodziarskie,część wsi,25.0,51.681094253316296,21.095157929995356
3b89cae7-dd7f-4a96-a6e4-d61cd12bba4f,1401,1401013,0614558,190040,Poduchowne,część wsi,,51.61637352198786,20.904261081555422
41d295f8-800c-436f-9532-72cb1fb6ce2d,1401,1401032,0634934,91092,Ocieść,wieś,209.0,51.53333796619559,20.785896650034218
4aa4f2c3-a1b9-48ba-bdc1-3cb3291f078d,1401,1401052,0638872,86268,Nętne,wieś,73.0,51.6001437027556,21.0642646973211
5e3f9a07-d854-44e9-b07d-59a220cafdc1,1401,1401052,0638694,175316,Nadleśnictwo Dobieszyn,osada,5.0,51.6355583830868,21.186031698557358
64b6d539-bb1c-4192-b9b1-3ec0309ff5a3,1401,1401032,0634785,39268,Grotki,wieś,146.0,51.548184928899595,20.792321463242686
BFBB9F4C-05A8-4969-A6D6-5D93A23B5E22,1401,1401013,0614587,141680,Turno,osada,,51.65000295901889,20.970361777625186
a68b7047-f47d-4cc7-bdd7-a58f1e88d50f,1401,1401013,1053665,243384,Walerianów,część wsi,,51.61528439246541,20.911333912925567
b237ee3b-e115-4441-bd5a-6dd75f2e1f1c,1401,1401052,0639044,131802,Stromiec,wieś,982.0,51.6413123200685,21.118718374431324
be9059c6-0898-4095-a9fc-2d4cc8beb2fe,1401,1401052,0638790,190092,Folwark,część wsi,,51.63970372289538,21.208509464269646
29D604F1-F34F-49E1-E053-CA2BA8C0A7F1,1401,1401052,0639050,30424,Folwarki,część wsi,114.0,51.65463163146259,21.101344477914584
29D604F1-F351-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634911,190054,Gościniec,część wsi,27.0,51.536048230599555,20.862069013031693
29D604F1-F352-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634880,37386,Grabno,część wsi,6.0,51.51823783622087,20.86786411703988
29D604F1-F391-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638346,35569,Gozdawska Wola,osada,,51.55532377692935,21.06844591517669
29D604F1-F353-49E1-E053-CA2BA8C0A7F1,1401,1401063,0974050,61713,Kresy,część miasta,250.0,51.62728077648981,20.822564265461388
29D604F1-F354-49E1-E053-CA2BA8C0A7F1,1401,1401063,0642075,92679,Olszowa,wieś,65.0,51.57990550492613,20.77608923570436
29D604F1-F390-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638576,190065,Kaszówek,część kolonii,,51.51608106829683,20.966180376119407
29D604F1-F392-49E1-E053-CA2BA8C0A7F1,1401,1401022,0632987,41052,Helenów,wieś,30.0,51.69192979388322,20.90282084926318
29D604F1-F393-49E1-E053-CA2BA8C0A7F1,1401,1401022,0632786,43085,Jadwigów,wieś,94.0,51.69394148546485,20.870172759923495
29D604F1-F394-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638139,43443,Jakubów,wieś,98.0,51.57222607916698,20.950920580987734
29D604F1-F3D9-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638435,151366,Wólka Pierzchnieńska,wieś,42.0,51.55796694853114,20.947094466107103
29D604F1-F395-49E1-E053-CA2BA8C0A7F1,1401,1401042,1053725,155922,Kadłubek-Podlas,wieś,54.0,51.590395286135625,21.10371191661302
29D604F1-F396-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634822,48194,Kadłubska Wola,wieś,263.0,51.53524797946805,20.90762513174436
29D604F1-F3D8-49E1-E053-CA2BA8C0A7F1,1401,1401032,0635069,151240,Wólka Kadłubska,wieś,27.0,51.560721820744796,20.90829151248503
29D604F1-F41F-49E1-E053-CA2BA8C0A7F1,1401,1401032,0635129,155199,Zacharzów,wieś,136.0,51.580600532961334,20.849854790118396
29D604F1-F3DA-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638524,190085,Nowy Sopot,część wsi,,51.537908405449805,21.023342860466524
29D604F1-F3DB-49E1-E053-CA2BA8C0A7F1,1401,1401052,0639140,106881,Paulanka,część wsi,69.0,51.60405967446113,21.183068289871546
29D604F1-F41E-49E1-E053-CA2BA8C0A7F1,1401,1401032,0635135,52530,Kępina,wieś,35.0,51.574707416071405,20.82680220303306
29D604F1-F356-49E1-E053-CA2BA8C0A7F1,1401,1401063,0642112,97032,Paprotno,wieś,109.0,51.59283105868052,20.79223139198498
29D604F1-F420-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634680,114105,Radość,część wsi,69.0,51.60050132185693,20.859087380749042
29D604F1-F421-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634667,6524,Błeszno,wieś,252.0,51.59374671549154,20.86399282022995
29D604F1-F355-49E1-E053-CA2BA8C0A7F1,1401,1401063,0642023,96102,Pabianki,część wsi,,51.58186233247528,20.756561569797793
29D604F1-F357-49E1-E053-CA2BA8C0A7F1,1401,1401013,0973292,2272,Banaszka,część miasta,5.0,51.63703846119814,20.94343233342117
29D604F1-F399-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638286,128046,Stara Błotnica,wieś,308.0,51.54709454045637,20.97206678895793
29D604F1-F358-49E1-E053-CA2BA8C0A7F1,1401,1401022,0632728,21339,Daltrozów,wieś,123.0,51.73910227545352,20.966907628083632
29D604F1-F397-49E1-E053-CA2BA8C0A7F1,1401,1401052,0638961,48525,Kalinów,wieś,,51.597607608838864,21.091820330403653
29D604F1-F398-49E1-E053-CA2BA8C0A7F1,1401,1401022,0633194,127889,Stanisławów,wieś,138.0,51.70940332438541,20.943123665351397
29D604F1-F39A-49E1-E053-CA2BA8C0A7F1,1401,1401052,0638990,128541,Stara Wieś,wieś,44.0,51.668019793334416,21.06326537296035
29D604F1-F39B-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638300,129347,Stare Siekluki,wieś,399.0,51.58470894963766,21.0122875797177
29D604F1-F3DF-49E1-E053-CA2BA8C0A7F1,1401,1401063,0974067,190097,Zakrętek,część miasta,,51.62475463789109,20.807722601150676
29D604F1-F39C-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634845,48195,Las-Wyręba,część wsi,45.0,51.54306010206376,20.91372451959249
29D604F1-F39D-49E1-E053-CA2BA8C0A7F1,1401,1401042,0638375,190074,Malenie,część wsi,,51.57032959300839,21.029738383449445
29D604F1-F3DE-49E1-E053-CA2BA8C0A7F1,1401,1401032,0634727,76618,Podlas,część wsi,27.0,51.534825557466924,20.84555493871609
29D604F1-F3E0-49E1-E053-CA2BA8C0A7F1,1401,1401063,0974073,190100,Zapłocie,część miasta,,51.62578142141314,20.82051871696199
29D604F1-F3E1-49E1-E053-CA2BA8C0A7F1,1401,1401063,0974080,190101,Źródło,część miasta,,51.62428374339165,20.809954346201366
29D604F1-F3E2-49E1-E053-CA2BA8C0A7F1,1401,1401063,0641957,190102,Jabłonka,część wsi,,51.55960096468869,20.72592672814689
29D604F1-F3E3-49E1-E053-CA2BA8C0A7F1,1401,1401063,0642081,190103,Leonówek,część wsi,,51.577217327089215,20.76826109682789
