LOKALNYID,TERYT,IDTERC,IDSIMC,IDPRNG,NAZWA,RODZAJ,LICZ_MIESZ,lat,lon
292A7BA1-EF55-C758-E053-CC2BA8C0E9C9,3001,3001023,0524536,87090,Niewiemko,wieś,21.0,52.90778784919604,16.787928832382374
292A7BA1-EF56-C758-E053-CC2BA8C0E9C9,3001,3001023,0524424,88509,Nowa Wieś Wyszyńska,wieś,101.0,52.87023664841371,16.89184593871401
292A7BA1-EF57-C758-E053-CC2BA8C0E9C9,3001,3001023,0524460,88676,Nowe Brzeźno,wieś,252.0,52.844769554974604,17.031246874429776
292A7BA1-EF59-C758-E053-CC2BA8C0E9C9,3001,3001023,1005399,89653,Nowki,część wsi,2.0,52.90573066583838,16.84425169914115
292A7BA1-EF5A-C758-E053-CC2BA8C0E9C9,3001,3001053,0529686,89910,Nowy Dwór,wieś,174.0,53.05172045652658,17.284250545809797
292A7BA1-EF5B-C758-E053-CC2BA8C0E9C9,3001,3001053,0529574,90212,Nowy Młyn Drugi,część wsi,3.0,53.006076445549766,17.044149402122727
292A7BA1-EF5C-C758-E053-CC2BA8C0E9C9,3001,3001053,1005241,90213,Nowy Młyn Pierwszy,część wsi,2.0,53.00104570666224,17.05698229392119
BCBBD41F-447A-4FAE-B57B-57773BF57F8C,3001,3001053,0529640,85852,Nałęcza,wieś,156.0,53.04391843303978,17.056666786238875
292A7BA1-EF19-C758-E053-CC2BA8C0E9C9,3001,3001043,0527990,110316,Próchnowo-Duże Osady,osada,52.0,52.92667806848339,17.12310330652506
292A7BA1-EF1A-C758-E053-CC2BA8C0E9C9,3001,3001043,0527960,114181,Radwanki,wieś,325.0,52.94061314276721,17.02224710404439
292A7BA1-EF1B-C758-E053-CC2BA8C0E9C9,3001,3001032,0524720,114806,Rataje,wieś,1305.0,52.998899518955945,16.949791250811135
292A7BA1-EF1C-C758-E053-CC2BA8C0E9C9,3001,3001032,0524588,124595,Słomki,wieś,64.0,53.00735821861143,16.99218501636882
292A7BA1-EF20-C758-E053-CC2BA8C0E9C9,3001,3001043,0527931,12931,Bugaj,osada,43.0,52.9339801046204,17.16447397723478
292A7BA1-EF1D-C758-E053-CC2BA8C0E9C9,3001,3001053,0529700,126195,Sokolec,wieś,144.0,53.055032533979066,17.227289662415227
292A7BA1-EF1E-C758-E053-CC2BA8C0E9C9,3001,3001023,0524507,126299,Sokołowo Budzyńskie,wieś,430.0,52.8436010201554,16.937685616604835
292A7BA1-EF1F-C758-E053-CC2BA8C0E9C9,3001,3001023,0524393,12884,Budzyń,miasto,4383.0,52.89136500167208,16.99153070038473
292A7BA1-EF21-C758-E053-CC2BA8C0E9C9,3001,3001032,0524737,131904,Stróżewice,wieś,162.0,52.93530263519843,16.86335629498646
292A7BA1-EF61-C758-E053-CC2BA8C0E9C9,3001,3001011,1005301,92411,Oleśniczka,część miasta,72.0,52.989703617620634,16.89146234040928
292A7BA1-EF5D-C758-E053-CC2BA8C0E9C9,3001,3001053,0529539,9111,Borowo,wieś,70.0,53.035669609961744,17.18603208940105
292A7BA1-EF5F-C758-E053-CC2BA8C0E9C9,3001,3001053,0529806,9214,Borówki,wieś,67.0,53.04513547768552,17.16386703140454
292A7BA1-EF60-C758-E053-CC2BA8C0E9C9,3001,3001032,0524631,92392,Oleśnica,wieś,310.0,52.98107014308293,16.814975288383952
292A7BA1-EF65-C758-E053-CC2BA8C0E9C9,3001,3001043,0528020,160479,Zbyszewice,wieś,209.0,52.914554760849136,17.126143752612226
292A7BA1-EF22-C758-E053-CC2BA8C0E9C9,3001,3001032,0524714,131905,Stróżewko,osada,61.0,52.9566076296093,16.893546436626888
292A7BA1-EF23-C758-E053-CC2BA8C0E9C9,3001,3001032,0524750,131907,Stróżewo,wieś,351.0,52.93532638929541,16.908345700073955
292A7BA1-EF62-C758-E053-CC2BA8C0E9C9,3001,3001023,0524476,95538,Ostrówki,wieś,206.0,52.91409985819022,16.924484252437978
292A7BA1-EF63-C758-E053-CC2BA8C0E9C9,3001,3001032,0524571,117969,Rudki,osada,25.0,52.99711180401084,16.9860556224075
292A7BA1-EF64-C758-E053-CC2BA8C0E9C9,3001,3001053,0529746,113786,Raczyn,wieś,113.0,53.05162170352681,17.036199711145443
292A7BA1-EF66-C758-E053-CC2BA8C0E9C9,3001,3001053,0967133,187287,Marianka,część miasta,80.0,53.026822067398705,17.112089326273754
292A7BA1-EF27-C758-E053-CC2BA8C0E9C9,3001,3001032,0524772,132405,Strzelęcin,wieś,133.0,53.0223467273168,16.94349563415773
292A7BA1-EF24-C758-E053-CC2BA8C0E9C9,3001,3001032,0524789,132339,Strzelce,wieś,646.0,53.03294411115485,16.966349562944146
292A7BA1-EF25-C758-E053-CC2BA8C0E9C9,3001,3001053,0529723,132382,Strzelczyki,wieś,116.0,53.03153711664103,17.032562570663824
292A7BA1-EF26-C758-E053-CC2BA8C0E9C9,3001,3001023,1005407,132390,Strzelecki Gaj,część wsi,2.0,52.93762094537541,16.974997195651344
292A7BA1-EF29-C758-E053-CC2BA8C0E9C9,3001,3001032,0524795,132734,Studzieniec,wieś,308.0,53.01396713445939,16.8902891111514
292A7BA1-EF67-C758-E053-CC2BA8C0E9C9,3001,3001053,0967140,187288,Michalina,część miasta,85.0,53.03061723045379,17.12678188495986
292A7BA1-EF2C-C758-E053-CC2BA8C0E9C9,3001,3001053,0529752,133928,Swoboda,wieś,64.0,53.040875404246535,17.260199699188494
292A7BA1-EF68-C758-E053-CC2BA8C0E9C9,3001,3001053,0967156,187291,Smolary,część miasta,68.0,53.028593423575266,17.126631570783378
292A7BA1-EF69-C758-E053-CC2BA8C0E9C9,3001,3001053,0529717,187292,Sokoleckie Wybudowanie,część wsi,5.0,53.05808089711817,17.20529982417229
292A7BA1-EF6A-C758-E053-CC2BA8C0E9C9,3001,3001023,1005360,200378,Kolonia,część wsi,68.0,52.89440138286466,17.085340415991407
292A7BA1-EF2A-C758-E053-CC2BA8C0E9C9,3001,3001043,0527977,132799,Studźce,wieś,241.0,52.960508809262194,17.028511910996816
292A7BA1-EF2B-C758-E053-CC2BA8C0E9C9,3001,3001043,0527983,133544,Sułaszewo,wieś,47.0,52.942341120423734,17.10148121978776
292A7BA1-EF2D-C758-E053-CC2BA8C0E9C9,3001,3001043,0528008,134127,Sypniewo,wieś,145.0,52.935623464639804,17.068466596442896
292A7BA1-EF2E-C758-E053-CC2BA8C0E9C9,3001,3001053,0967096,134353,Szamocin,miasto,3908.0,53.030320295267245,17.12049982331543
292A7BA1-EF2F-C758-E053-CC2BA8C0E9C9,3001,3001053,0529798,134361,Szamoty,wieś,152.0,53.039929986956935,17.143944363255763
292A7BA1-EF30-C758-E053-CC2BA8C0E9C9,3001,3001023,1005413,135555,Szklarnia,część wsi,2.0,52.913450159230536,16.808871685761833
292A7BA1-EF6F-C758-E053-CC2BA8C0E9C9,3001,3001032,0524654,26579,Drzązgowo,osada leśna,1.0,52.94591337568353,16.76863439039736
292A7BA1-EF6C-C758-E053-CC2BA8C0E9C9,3001,3001043,0527820,232,Adolfowo,wieś,285.0,52.9658588402739,17.005774992853464
292A7BA1-EF6D-C758-E053-CC2BA8C0E9C9,3001,3001043,0527871,23230,Dębiniec,wieś,37.0,52.98808341968557,17.18476478964749
292A7BA1-EF6E-C758-E053-CC2BA8C0E9C9,3001,3001023,1005353,26190,Drążki,część miasta,2.0,52.872743418788794,17.015836675503525
292A7BA1-EF70-C758-E053-CC2BA8C0E9C9,3001,3001023,1005330,285,Albertynowo,część wsi,10.0,52.83037193413273,17.050431819906883
292A7BA1-EF71-C758-E053-CC2BA8C0E9C9,3001,3001023,0524430,28998,Dziewoklucz,wieś,376.0,52.90466929028191,17.06646970754311
292A7BA1-EF72-C758-E053-CC2BA8C0E9C9,3001,3001032,1005264,34674,Gołe Pole,osada leśna,2.0,52.98160971518526,16.735728625418496
292A7BA1-EF34-C758-E053-CC2BA8C0E9C9,3001,3001043,0528037,148799,Witkowice,osada,16.0,52.922633259049725,17.103720968564346
292A7BA1-EF31-C758-E053-CC2BA8C0E9C9,3001,3001043,0527954,139475,Tereska,przysiółek,21.0,52.94840284386508,17.17047435791916
292A7BA1-EF32-C758-E053-CC2BA8C0E9C9,3001,3001032,0524683,140461,Trojanka,osada,10.0,53.00127862463843,16.827992456158864
292A7BA1-EF33-C758-E053-CC2BA8C0E9C9,3001,3001032,0524743,140713,Trzaskowice,wieś,40.0,52.917712535867004,16.87961943964925
292A7BA1-EF35-C758-E053-CC2BA8C0E9C9,3001,3001032,0524810,152970,Wymysław,wieś,70.0,53.02202126358174,16.98320264020733
292A7BA1-EF36-C758-E053-CC2BA8C0E9C9,3001,3001023,0524520,153897,Wyszynki,wieś,86.0,52.909398683681864,16.81233299051276
292A7BA1-EF76-C758-E053-CC2BA8C0E9C9,3001,3001053,0529769,43354,Jaktorowo,wieś,148.0,53.0352612592131,17.232370081454093
292A7BA1-EF73-C758-E053-CC2BA8C0E9C9,3001,3001023,0524447,37667,Grabówka,wieś,144.0,52.906641190268836,16.85932087897368
292A7BA1-EF74-C758-E053-CC2BA8C0E9C9,3001,3001053,0529545,41103,Heliodorowo,wieś,300.0,53.06243565292155,17.17140362231696
292A7BA1-EF75-C758-E053-CC2BA8C0E9C9,3001,3001032,0524660,42970,Jacewko,osada leśna,1.0,52.950230697853854,16.840928088981183
292A7BA1-EF39-C758-E053-CC2BA8C0E9C9,3001,3001011,0966760,15900,Chodzież,miasto,16283.0,52.9893636192031,16.916159280701198
292A7BA1-EF37-C758-E053-CC2BA8C0E9C9,3001,3001023,0524542,153898,Wyszyny,wieś,713.0,52.88834714915733,16.855867950351605
292A7BA1-EF38-C758-E053-CC2BA8C0E9C9,3001,3001032,0524803,155201,Zacharzyn,wieś,760.0,53.03489800060161,17.00150583875907
292A7BA1-EF77-C758-E053-CC2BA8C0E9C9,3001,3001053,0529781,43358,Jaktorówko,część wsi,8.0,53.03592041693329,17.20727204595157
292A7BA1-EF78-C758-E053-CC2BA8C0E9C9,3001,3001053,0529663,47275,Józefowice,wieś,164.0,53.043182292965454,17.0868903016693
292A7BA1-EF79-C758-E053-CC2BA8C0E9C9,3001,3001053,0529692,47293,Józefy,część wsi,7.0,53.03455404449284,17.277237776253443
292A7BA1-EF3A-C758-E053-CC2BA8C0E9C9,3001,3001043,0528050,163958,Żoń,wieś,52.0,52.92211521396043,17.147959939899554
292A7BA1-EF3B-C758-E053-CC2BA8C0E9C9,3001,3001053,0529634,171303,Śluza Krostkowo,osada,2.0,53.081368409887524,17.226788787843947
292A7BA1-EF7A-C758-E053-CC2BA8C0E9C9,3001,3001032,0524619,49639,Kamionka,wieś,50.0,53.021124845731656,16.858200461374032
292A7BA1-EF3C-C758-E053-CC2BA8C0E9C9,3001,3001011,1005270,176871,Karczewnik,część miasta,55.0,52.96926048167251,16.908932121029537
292A7BA1-EF3D-C758-E053-CC2BA8C0E9C9,3001,3001032,0524648,18028,Cisze,przysiółek,23.0,52.999454603368285,16.810264407277288
292A7BA1-EF3E-C758-E053-CC2BA8C0E9C9,3001,3001032,0524602,18033,Ciszewo,osada,1.0,53.04266206125651,16.90566325319755
292A7BA1-EF46-C758-E053-CC2BA8C0E9C9,3001,3001032,0524690,100889,Pietronki,wieś,131.0,52.98047220272222,16.994326571608504
292A7BA1-EF7B-C758-E053-CC2BA8C0E9C9,3001,3001043,0527859,50827,Karolinka,wieś,57.0,52.99305583875101,17.148521915183753
292A7BA1-EF42-C758-E053-CC2BA8C0E9C9,3001,3001043,1005258,187282,Krakowskie Osady,część wsi,65.0,52.96312479620003,17.177794488479506
292A7BA1-EF43-C758-E053-CC2BA8C0E9C9,3001,3001053,0967104,187283,Filipa,część miasta,58.0,53.03248922123818,17.125918711412968
292A7BA1-EF44-C758-E053-CC2BA8C0E9C9,3001,3001053,0967110,187284,Leśniczówka,część miasta,2.0,53.025431021160706,17.143317174122604
292A7BA1-EF45-C758-E053-CC2BA8C0E9C9,3001,3001053,0967127,187286,Ludwikowiec,część miasta,100.0,53.03173945434325,17.1336763292773
292A7BA1-EF7C-C758-E053-CC2BA8C0E9C9,3001,3001023,0524453,51741,Kąkolewice,wieś,197.0,52.91074923925791,16.95807769652841
292A7BA1-EF7D-C758-E053-CC2BA8C0E9C9,3001,3001032,0524677,53162,Kierzkowice,osada,36.0,53.011757282914424,16.855619104492227
292A7BA1-EF48-C758-E053-CC2BA8C0E9C9,3001,3001032,0524708,103857,Podanin,wieś,522.0,52.95998431591936,16.951219094952364
292A7BA1-EF7E-C758-E053-CC2BA8C0E9C9,3001,3001043,0528043,53586,Klaudia,wieś,47.0,52.90381999166004,17.120350134551543
292A7BA1-EF7F-C758-E053-CC2BA8C0E9C9,3001,3001043,0528014,54262,Klotyldzin,wieś,228.0,52.955972869143,17.056983803727654
292A7BA1-EF47-C758-E053-CC2BA8C0E9C9,3001,3001053,0529580,101270,Piłka,część wsi,1.0,53.00212508105554,17.051494706329333
292A7BA1-EF85-C758-E053-CC2BA8C0E9C9,3001,3001053,0529611,68383,Lipa,wieś,244.0,53.06647676911995,17.268109470054053
292A7BA1-EF80-C758-E053-CC2BA8C0E9C9,3001,3001032,0524559,57313,Konstantynowo,wieś,162.0,53.00228991982436,17.01605407144698
292A7BA1-EF81-C758-E053-CC2BA8C0E9C9,3001,3001043,0527836,59970,Kowalewo,wieś,131.0,52.95785851546285,17.149611127218567
292A7BA1-EF49-C758-E053-CC2BA8C0E9C9,3001,3001023,0524482,106282,Podstolice,wieś,300.0,52.9368159313369,16.9794209060457
292A7BA1-EF4A-C758-E053-CC2BA8C0E9C9,3001,3001053,0529522,1063,Atanazyn,wieś,265.0,53.06001858848608,17.106814459881043
292A7BA1-EF82-C758-E053-CC2BA8C0E9C9,3001,3001053,0529670,60266,Kosarzyn,część wsi,25.0,53.03922691125014,17.10718178966179
292A7BA1-EF83-C758-E053-CC2BA8C0E9C9,3001,3001032,0524766,62983,Krystynka,przysiółek,41.0,52.940040212650004,16.929909539597272
292A7BA1-EF84-C758-E053-CC2BA8C0E9C9,3001,3001053,0529551,66657,Laskowo,wieś,394.0,53.018977258089215,17.07936041282083
292A7BA1-EF86-C758-E053-CC2BA8C0E9C9,3001,3001053,1005229,68413,Lipa Druga,część wsi,28.0,53.06120032891477,17.273838358527254
292A7BA1-EF87-C758-E053-CC2BA8C0E9C9,3001,3001053,1005235,68414,Lipa Pierwsza,część wsi,108.0,53.04999510055784,17.275833203463563
292A7BA1-EF88-C758-E053-CC2BA8C0E9C9,3001,3001053,0529628,68451,Lipia Góra,wieś,483.0,53.071329012583895,17.22208739363124
292A7BA1-EF4B-C758-E053-CC2BA8C0E9C9,3001,3001023,1005376,73737,Łucjanowo,część miasta,30.0,52.87665987941882,16.994434480180097
292A7BA1-EF50-C758-E053-CC2BA8C0E9C9,3001,3001032,0524594,80535,Milcz,wieś,487.0,53.04089585165434,16.88221714675279
292A7BA1-EF4C-C758-E053-CC2BA8C0E9C9,3001,3001043,0527919,77416,Marcinek,przysiółek,37.0,52.99547944912844,17.06765057998567
292A7BA1-EF4D-C758-E053-CC2BA8C0E9C9,3001,3001043,0966990,77549,Margonin,miasto,2823.0,52.97105713172595,17.094653749336164
292A7BA1-EF4E-C758-E053-CC2BA8C0E9C9,3001,3001043,0527888,77554,Margońska Wieś,wieś,276.0,52.99274524511599,17.141172564530663
292A7BA1-EF51-C758-E053-CC2BA8C0E9C9,3001,3001032,0524565,81050,Mirowo,wieś,64.0,53.002098984237236,16.97943725876947
292A7BA1-EF52-C758-E053-CC2BA8C0E9C9,3001,3001043,0527902,81495,Młynary,wieś,168.0,52.990925590360206,17.07106759875682
292A7BA1-EF89-C758-E053-CC2BA8C0E9C9,3001,3001043,0527842,68606,Lipiniec,wieś,86.0,52.98714471474154,17.158670769288026
292A7BA1-EF8B-C758-E053-CC2BA8C0E9C9,3001,3001043,0527865,68643,Lipiny,wieś,507.0,52.971895572465286,17.174954376344196
292A7BA1-EF8D-C758-E053-CC2BA8C0E9C9,3001,3001043,0527925,110314,Próchnowo,wieś,391.0,52.94185592953323,17.14038138842328
6DC20642-520F-4B8A-8A79-4FB2E7AFCC58,3001,3001053,0529568,79782,Mielimąka,część wsi,13.0,53.0197286273941,17.061324518001005
2e156f94-d33f-475d-979a-13dd51678cdc,3001,3001053,0529539,9126,Borowo-Młyn,część wsi,70.0,53.050109769422534,17.184964446536707
5344E3E9-4A11-443B-8B6C-A96E8E2D4BF0,3001,3001023,0524418,13262,Bukowiec,wieś,296.0,52.85676967613571,16.860237654720045
62E0B1BF-990C-4305-9F27-F792A0530271,3001,3001023,1005382,88683,Nowe Budy,część miasta,2.0,52.86792783510726,16.96270967494062
292A7BA1-EF53-C758-E053-CC2BA8C0E9C9,3001,3001053,0529730,85595,Nadolnik,przysiółek,92.0,53.03081439932297,17.056796965806964
31CB94A2-7F92-F465-E053-CA2BA8C01137,3002,3002022,0525205,173678,Śluza Trzynaście,część wsi,,53.023591709284645,16.58824395424572
292A7BA1-EF54-C758-E053-CC2BA8C0E9C9,3001,3001032,0524625,87069,Nietuszkowo,wieś,313.0,53.03649959531114,16.822518833184272
292A7BA1-EF16-C758-E053-CC2BA8C0E9C9,3001,3001023,0524513,108153,Popielno,wieś,27.0,52.84126965188615,16.989220721325104
292A7BA1-EF17-C758-E053-CC2BA8C0E9C9,3001,3001023,0524387,10845,Brzekiniec,wieś,199.0,52.86985260165141,17.04400775883743
292A7BA1-EF18-C758-E053-CC2BA8C0E9C9,3001,3001023,0524499,110237,Prosna,wieś,368.0,52.88921597707841,16.907836049092673
31CB94A2-807B-F465-E053-CA2BA8C01137,3002,3002043,0526788,10799,Brzegi,wieś,122.0,52.91733794986583,16.02589148912295
31CB94A2-7FF7-F465-E053-CA2BA8C01137,3002,3002083,0532464,41199,Herburtowo,wieś,169.0,52.89368044275047,16.111716481511962
31CB94A2-8011-F465-E053-CA2BA8C01137,3002,3002062,0528729,187370,Boruszynek,część wsi,26.0,52.793842235709846,16.63630080658659
31CB94A2-8043-F465-E053-CA2BA8C01137,3002,3002073,1005554,81526,Młynek,część wsi,,52.970662525470594,16.308276589225823
31CB94A2-7FCA-F465-E053-CA2BA8C01137,3002,3002022,1006000,187310,Sarbia-Majątek,część wsi,,52.95214466880267,16.68634846788821
31CB94A2-7FE4-F465-E053-CA2BA8C01137,3002,3002032,1005991,187340,Bryza,część wsi,,52.853224113836745,16.07916313761732
31CB94A2-800F-F465-E053-CA2BA8C01137,3002,3002052,1005910,187368,Wybudowanie Kruteckie,część wsi,,52.83383771569607,16.418000361116068
31CB94A2-8082-F465-E053-CA2BA8C01137,3002,3002043,0526848,23034,Dębina,osada leśna,4.0,52.94623419576938,15.971736447731914
31CB94A2-8022-F465-E053-CA2BA8C01137,3002,3002083,1005494,151830,Wrzeszczyńskie Wybudowanie,część wsi,,52.87959642718152,16.203512385410964
31CB94A2-7FF5-F465-E053-CA2BA8C01137,3002,3002052,0527233,187353,Bzowo-Goraj,część wsi,,52.860701216608135,16.480791149952886
31CB94A2-8083-F465-E053-CA2BA8C01137,3002,3002032,0525754,26154,Drawski Młyn,wieś,967.0,52.86047321922503,16.0828815562458
31CB94A2-7FB1-F465-E053-CA2BA8C01137,3002,3002083,0532547,122566,Siklawa,osada leśna,,52.92612918334679,16.137860872306785
31CB94A2-7FF0-F465-E053-CA2BA8C01137,3002,3002032,1015937,187343,Korea,część wsi,,52.860320757610495,16.088229033275844
31CB94A2-7F84-F465-E053-CA2BA8C01137,3002,3002022,1016078,23621,Dębowiec,część wsi,,53.03443183713128,16.627226860578407
31CB94A2-8093-F465-E053-CA2BA8C01137,3002,3002073,0530413,94427,Osiniec,wieś,59.0,53.034168946791645,16.509281678909645
31CB94A2-8047-F465-E053-CA2BA8C01137,3002,3002032,1015972,101275,Piłka-Las,część wsi,,52.812974227397,16.039747794604075
31CB94A2-8069-F465-E053-CA2BA8C01137,3002,3002032,0525895,113852,Radęcin,część wsi,,52.78098327774994,15.979664627737431
31CB94A2-7F85-F465-E053-CA2BA8C01137,3002,3002062,0528860,23995,Długi Bród,osada leśna,4.0,52.75559782401962,16.60180176064213
31CB94A2-7F9D-F465-E053-CA2BA8C01137,3002,3002052,1005867,62503,Krutecki Bór,osada leśna,,52.82195797371949,16.43871923518187
31CB94A2-8095-F465-E053-CA2BA8C01137,3002,3002084,0967370,95284,Ostrów,część miasta,,52.88959757198855,16.171967637254113
31CB94A2-7FCF-F465-E053-CA2BA8C01137,3002,3002022,1016167,78035,Marunowo Dolne,część wsi,,52.95753019384871,16.716853441105467
31CB94A2-801F-F465-E053-CA2BA8C01137,3002,3002043,0526937,149022,Wizany,wieś,148.0,52.93045545915329,16.099718207922614
31CB94A2-8015-F465-E053-CA2BA8C01137,3002,3002083,0532659,44682,Jaryń,osada,49.0,52.87624219039614,16.137806038772634
31CB94A2-8059-F465-E053-CA2BA8C01137,3002,3002073,0530330,73158,Łomnica-Folwark,część wsi,44.0,53.10824731340646,16.50097082930412
31CB94A2-7F8C-F465-E053-CA2BA8C01137,3002,3002043,0526794,119670,Rzeczyn,osada,1.0,52.90863162176084,16.01232827692892
31CB94A2-805B-F465-E053-CA2BA8C01137,3002,3002083,0532458,75066,Maciejewo,część wsi,,52.84570196896951,16.36513740144584
31CB94A2-8071-F465-E053-CA2BA8C01137,3002,3002022,1016227,200381,Radosiewko,część wsi,,52.95946138872027,16.482977673312966
31CB94A2-8098-F465-E053-CA2BA8C01137,3002,3002073,0530519,96778,Pańska Łaska,osada,,53.064186864979874,16.422780957083827
31CB94A2-7FB9-F465-E053-CA2BA8C01137,3002,3002052,0527210,34936,Goraj,wieś,367.0,52.86357713988078,16.497520818177303
31CB94A2-804D-F465-E053-CA2BA8C01137,3002,3002083,0532330,187396,Biała,osada leśna,5.0,52.82077231808822,16.320583759568123
31CB94A2-8094-F465-E053-CA2BA8C01137,3002,3002032,0525932,9516,Borzysko-Młyn,część wsi,,52.76680466361579,16.03049060250248
31CB94A2-7FE5-F465-E053-CA2BA8C01137,3002,3002032,0525783,187341,Drawsko,osada,2.0,52.84096417420997,15.998224436561848
31CB94A2-7FF4-F465-E053-CA2BA8C01137,3002,3002043,0526802,187350,Stefanowo,osada,10.0,52.90804728647758,15.989535165295585
31CB94A2-807D-F465-E053-CA2BA8C01137,3002,3002043,1005956,200384,Topno,osada leśna,,52.91228309472412,16.004490197357697
b4aa94ed-6e99-4a3c-97f0-8522100671f8,3002,3002052,1005815,238698,Czarne Olendry,część wsi,,52.83570215416555,16.45229692334071
31CB94A2-8072-F465-E053-CA2BA8C01137,3002,3002032,1009799,200382,Chełst-Wschód,część wsi,,52.823721093249496,15.964298042752546
31CB94A2-7FC5-F465-E053-CA2BA8C01137,3002,3002022,1016150,187303,Lichota,część wsi,,52.86872555824505,16.67825914846632
31CB94A2-8048-F465-E053-CA2BA8C01137,3002,3002022,0525033,101923,Plany,część wsi,41.0,52.91138485818608,16.364798653694134
b2d84082-880a-4bf1-9757-c08eae86cc3e,3002,3002084,1005436,238704,Brzeźno,część miasta,7.0,52.881034185918445,16.16545069946857
7a68c93e-7169-403b-92e8-fb2c04fd519d,3002,3002073,1005637,199435,Straduński Młyn,część wsi,4.0,53.04227599757718,16.38104968744948
31CB94A2-7FEC-F465-E053-CA2BA8C01137,3002,3002073,1005560,86753,Niekursko,osada leśna,388.0,53.09102999855476,16.418179005940647
31CB94A2-7FF6-F465-E053-CA2BA8C01137,3002,3002032,1015914,40833,Harenda,część wsi,,52.80933956599854,16.065729691590956
31CB94A2-7FB5-F465-E053-CA2BA8C01137,3002,3002022,1016109,187298,Huby,część wsi,,52.87288715373996,16.582098898318126
31CB94A2-7FA4-F465-E053-CA2BA8C01137,3002,3002022,1016026,187294,Apostoły,część wsi,,52.89114868312678,16.593294414704157
31CB94A2-808C-F465-E053-CA2BA8C01137,3002,3002043,0526908,111127,Przesieki,wieś,48.0,53.00849664265683,15.994469953294375
31CB94A2-8027-F465-E053-CA2BA8C01137,3002,3002062,1005710,187375,Krosinek-Wybudowanie,część wsi,,52.826810210537516,16.672189723043783
31CB94A2-806A-F465-E053-CA2BA8C01137,3002,3002022,0525091,114027,Radosiew,wieś,173.0,52.96165081419571,16.478613770946833
31CB94A2-7FD5-F465-E053-CA2BA8C01137,3002,3002073,0530554,131206,Stobno,wieś,626.0,53.09649158537938,16.64959992457672
