stop_id,bdot10k_id,osm_id,LOKALNYID
-1,2F4C2F62-A810-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2D260B94-9547-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2D260B94-9545-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2D260B94-9543-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,,4018731091,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2F4C2F62-A807-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2D260B94-954C-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,30F9FC82-C787-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,30F9FC82-C867-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,2F4C2F62-A812-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2D260B94-954E-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2D260B94-954D-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2D260B94-9520-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2F4C2F62-A8DF-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2D260B94-954F-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2F4C2F62-A809-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,,1939573189,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,,8123913991,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,,1939573361,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2D260B94-9548-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,,1939573371,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,2D260B94-95E7-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,,12544349498,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,,2020532178,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,2F4C2F62-A806-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2F4C2F62-A80B-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2F4C2F62-A805-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2D260B94-95E6-9D6A-E053-CC2BA8C0F6D6,-1,2D260B93-8BDE-9D6A-E053-CC2BA8C0F6D6
-1,,12544349497,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,30F9FC82-C68D-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,2F4C2F62-A8E0-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2F4C2F62-A9BD-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,2F4C2F62-A982-145C-E053-CC2BA8C0A22F,-1,2F4C2F61-4CC0-145C-E053-CC2BA8C0A22F
-1,30F9FC82-C747-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,30F9FC82-C8C5-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,30F9FC82-C7CE-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,30F9FC82-C8A7-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
-1,30F9FC82-C78A-6F98-E053-CA2BA8C06527,-1,30F9FC80-BBD3-6F98-E053-CA2BA8C06527
