X;Y;osm_id;NAZWA
19.2173938;51.7610118;2122498143;Kili?skiego 66 N? (Kazimierz)
19.2170032;51.7613062;2122498145;Kili?skiego 66 N? (Kazimierz)
19.2128619;51.7637459;2122498147;Kili?skiego 50 N? (Kazimierz)
19.5200016;51.8250739;2122520465;Strykowska - ?odzianka N?
19.5310564;51.8299235;2122521364;Strykowska - Okólna N?
19.5501035;51.8382664;2122524349;Strykowska - Strykowska 241 N?
19.5805242;51.8929794;2122579217;Corning
19.6010909;51.9008565;2122593147;pl. ?ukasi?skiego
19.604615;51.9026522;2122593148;Kopernika - S?owackiego
19.5944297;51.9102856;2122593150;Stryków Dworzec PKP
18.3465073;49.9544428;2122605111;Olza Szkoła
18.3897194;49.9613828;2122605151;Gorzyce Raciborska Szkoła
19.5965914;51.8947601;2122607955;Warszawska - Legionów
22.6879026;50.8605844;2122635428;""
20.2410214;52.2170029;2122670717;""
19.0946252;50.265472;2122865600;Szopienice Szpital Geriatryczny
19.0924593;50.2657543;2122865616;Szopienice Szpital Geriatryczny
18.8832882;50.0011127;2122998365;Radostowice Sklep
22.0854816;50.9579439;2573316958;Dzierzkowice Rynek
15.5394924;51.9583686;2573615127;Kostrzy?ska
16.8165528;52.3381339;2573634824;Komorniki Nowa n?.
18.6102775;51.1195999;2573639288;Dzietrzniki DK
19.4804465;50.1173323;2574258928;Bol?cin Centrum
19.4803797;50.117545;2574258930;Bol?cin Centrum
19.4723192;50.1200515;2574258932;Bol?cin Cmentarz
19.4712075;50.1203266;2574258936;Bol?cin Cmentarz
18.8325448;50.0262626;2122998479;Suszec Branica
19.5919447;51.8595202;2123500440;Dobieszków - Wieś
19.5637076;51.8548292;2123509442;Dobra Nowiny #
19.5069973;51.8193688;2123532452;Strykowska - Rogowska N?
17.0872827;52.2230203;2123618060;Kórnik/Bnin Osiedle
19.4393324;51.7650809;2123875273;?eligowskiego - Struga
19.4541138;51.8167765;2123907456;Sikorskiego - Dw. ?ód? Arturówek
19.5243327;51.7372889;2124951750;Lodowa - Lodowa 91 N?
19.5241611;51.7399596;2124951751;Lodowa - Dostawcza N?
19.5240459;51.7333474;2124953875;Lodowa - D?browskiego N?
19.5242306;51.7342298;2125103310;Lodowa - D?browskiego N?
19.5212581;51.7500791;2125110998;Lodowa - cm. Zarzew
19.5240695;51.7403014;2125110999;Lodowa - Dostawcza N?
19.5224224;51.7462353;2125111001;Lodowa - Andrzejewskiej N?
19.3846857;51.3601222;2125398946;?w. Faustyny Kowalskiej
19.4997981;50.1089894;2574258947;Bol?cin Stawki
19.4962304;50.110497;2574258956;Bol?cin Stawki
19.5082949;50.1044073;2574258976;Nieporaz Oblaszki
19.3734493;50.0513872;2574271802;M?tków Du?y
19.3735253;50.0514831;2574271803;M?tków Du?y
19.3723382;50.0516162;2574271804;M?tków I
19.372355;50.0517;2574271805;M?tków I
19.3874877;50.0494969;2574271807;M?tków Ma?y
19.3798351;50.0503323;2574271808;M?tków Szkoła
19.3798418;50.0504439;2574271809;M?tków Szkoła
19.3489319;50.062824;2574271810;Ziajki Stawy
19.3487835;50.0628725;2574271811;Ziajki Stawy
16.1879598;51.1888931;2576926926;Myrka-P?tla
16.9529727;52.4380178;2577099871;Wilczy Młyn
14.5541629;53.2554334;2125443791;""
14.5530444;53.2552848;2125443792;""
20.3411102;53.8048328;2125698845;Warka?y-Osiedle Mi?e
19.4737798;51.7317185;2126041335;Rzgowska - Paderewskiego
19.4714074;51.7341135;2126046533;Rzgowska - Lecznicza
19.4710421;51.7344823;2126065463;Rzgowska - Lecznicza
16.9015323;52.3708837;2126148193;D?biec PKM
19.4054361;51.7447414;2126201774;Retki?ska - Zagrodniki
19.5318596;51.7411559;2126268177;Puszkina - Dostawcza N?
19.5317448;51.73619;2126268178;Puszkina - D?browskiego N?
19.4835874;51.7549006;2126289323;Prz?dzalniana - Tymenieckiego
19.5306995;51.7341999;2126305751;D?browskiego - Tomaszowska N?
19.5378654;51.7388228;2126328834;Techniczna 6 N?
19.0181163;50.2582769;2126355797;Katowice Dworzec
19.0177929;50.2583028;2126355802;Katowice Dworzec
19.0174696;50.2583286;2126355806;Katowice Dworzec
19.0171462;50.2583545;2126355812;Katowice Dworzec
19.0168229;50.2583804;2126355816;Katowice Dworzec
19.0181597;50.2584517;2126355827;Katowice Dworzec
19.0178378;50.2584784;2126355829;Katowice Dworzec
19.0171939;50.2585316;2126355831;Katowice Dworzec
19.016872;50.2585583;2126355835;Katowice Dworzec
24.0342731;50.8992697;2126617636;""
19.4435031;51.7812807;2127171368;Drewnowska - Piwna
19.3071541;51.826283;2127228937;Targowy Rynek
19.0043728;50.2373826;2129590228;Brynów Gawronów II
19.0041653;50.2374579;2129590229;Brynów Gawronów II
18.9945304;50.2392855;2130436075;Brynów Ró?yckiego
19.158286;50.2061574;2130443581;Brzezinka Centrum
19.3519912;50.1039559;2578209810;Libi?? Jaworek
19.3434694;50.1043958;2578209814;Libi?? My?liwska
19.1627383;50.1914071;2130481161;Kosztowy Dzióbka
19.0504795;50.4490535;2133673406;Celiny Autostrada
18.9637822;50.3402494;2130628924;Brzeziny ?l?skie Stare Osiedle
19.1570992;50.2117345;2130950545;Brz?czkowice Ogródki Dzia?kowe [n?]
19.1572763;50.2163634;2130961703;Brz?czkowice Szkoła
19.0798989;50.2683628;2130995658;Burowiec
21.5831672;49.8041234;2131039223;Lubla, Zajezdnia
19.0157169;50.2563725;2131629529;Katowice Andrzeja Dworzec
19.5083144;51.7626429;2131959463;Niciarniana - Pi?sudskiego
19.5093375;51.7592136;2131959464;Niciarniana - przychodnia N?
19.6323561;51.7202933;2131989851;Wi?niowa Góra - Szkoła
19.6258445;51.7107802;2131993475;Wi?niowa Góra - Jednostka Wojskowa
19.6147241;51.6966582;2132000870;Stró?a - Gajowa N?
19.6293644;51.7158927;2132008271;Wi?niowa Góra - Piekarnicza
19.5097454;51.7578347;2132039807;Niciarniana - Niciarniana 45 N?
18.9704787;50.3698497;2132500185;Brzozowice
19.2900405;50.0858136;2578631090;Budzowy Skrzy?owanie
19.3122747;50.0788535;2578631094;Gromiec Osadnik
19.2998997;50.0713668;2578631096;Gromiec Szyjki II
15.3495965;52.7564473;2133133262;Janczewo, Ko?ció? (51)
19.5692832;51.8276844;2133616750;Kalonka II
19.6074517;51.834462;2133660031;Borchówka 7 N?
19.0683488;50.4511751;2133668655;Celiny Droga do Pyrzowic n/ż
19.0684357;50.4513837;2133668656;Celiny Droga do Pyrzowic n/ż
19.535041;51.7971525;2133669962;Marmurowa - Brzezi?ska
19.1994994;50.1276873;2133739461;Che?m ?l?ski Pod?u?e [n?]
19.1984486;50.1318385;2133740624;Imielin Grzybowa
19.1979993;50.1326121;2133740630;Imielin Grzybowa
19.1942945;50.1390703;2133742581;Imielin Hallera
19.3213461;50.108358;2578631103;Libi?? Armii Krajowej
19.3235406;50.112368;2578631109;Libi?? GS
19.2876886;50.0953683;2578631122;Libi?? Kruczek
19.3052181;50.0877783;2578631123;Libi?? Krzywda Skrzy?owanie
19.1822922;50.1436247;2133759040;Imielin O?rodek Zdrowia
19.1762709;50.1434815;2133793311;Imielin Dworzec PKP
19.177675;50.15755;2133809958;Imielin Wiadukt
19.0469392;50.2723039;2134152215;Bogucice Cmentarz
19.5966355;51.7491007;2134611845;Rokici?ska - Autostrada A1 N?
19.6231588;51.7485514;2134654963;Rataja - Gajcego N?
19.6053335;51.7816486;2134661205;Wi?czy?ska - Autostrada A1 N?
19.6006399;51.7994157;2134673185;Byszewska - Pomara?czowa
19.6098168;51.8040385;2134693544;Byszewska - Byszewska 26 #
19.2865201;50.1003679;2578631127;Libi?? Mleczna
19.2863229;50.1007112;2578631128;Libi?? Mleczna
19.3274385;50.1124761;2578631135;Libi?? PKP
19.3291128;50.1027187;2578631138;Libi?? os. Flagówka Pawilon
19.2998183;50.0920427;2578631142;Libi?? Piaski
19.2966849;50.1038759;2578631150;Libi?? Jazdówka Spó?dzielnia
19.3203599;50.0988275;2578631154;Genera?a W?adys?awa Sikorskiego
19.605461;51.7810223;2134702661;Wi?czy?ska - Autostrada A1 N?
19.6300275;51.7523837;2134708124;Gajcego - S?owia?ska N?
19.6022664;51.7583742;2134709086;Malownicza - Gerberowa N?
19.5740298;51.71456;2134751390;Kolumny - Ogrodnicza N?
19.5854283;51.7118741;2134752135;Kolumny - Mozaikowa N?
19.5974158;51.7095676;2134752569;Kolumny - Platanowa N?
19.6115807;51.7042577;2134755014;Kolumny - Czajewskiego N?
19.6007292;51.7086568;2134755962;Kolumny - Autostrada A1 N?
19.6105809;51.704664;2134767835;Kolumny - Czajewskiego N?
19.6007064;51.7086663;2134770789;Kolumny - Autostrada A1 N?
19.5960454;51.709775;2134771614;Kolumny - Platanowa N?
19.5635021;51.7163509;2134777290;Kolumny - Mahoniowa N?
19.5966305;51.8192525;2134882676;Grabina - Grabina/Lipowa1
18.9836317;50.2187487;2134893939;Ochojec Lechicka
19.0371645;50.1865533;2134901703;Murcki Le?ników [n?]
19.0454354;50.1950678;2134914510;Murcki Wzgórze Wandy
19.590839;51.8210602;2134922914;Grabina 50
19.5754392;51.8248062;2134926351;Kalonka/Centrum Ojca Pio
21.0459886;52.2726156;2134999717;DKS Targówek 01
19.3036329;50.0978118;2578631159;Libi?? Spokojna Cmentarz
19.3032902;50.0988907;2578631160;Libi?? Spokojna Cmentarz
19.3014606;50.1030631;2578631161;Libi?? Spokojna
19.3010421;50.1035172;2578631162;Libi?? Spokojna
19.313478;50.1030173;2578631166;Libi?? Urz?d Miejski
19.2723782;50.0519955;2578644032;Bobrek Dom Ludowy
19.2724553;50.0516275;2578644035;Gromiec Granica
21.2825919;53.4646818;2135054112;""
21.1260951;51.330677;2135101206;""
21.1244382;51.3702766;2135129226;Wierzbicka / Gospodarcza (N?)
21.1259019;51.3724207;2135129234;Wierzbicka / Czarnoleska
19.0496019;50.2705667;2135965718;Osiedle Kukuczki Podhala?ska
19.0786733;50.2795075;2135993053;D?brówka Ma?a Dytrycha
19.493901;51.6472063;2136665063;Tuszy?ska - CH PTAK N?
19.4540815;51.7661283;2136899192;Ko?ciuszki - Struga
19.4138893;51.7473994;2137057386;Wyszy?skiego - os. Piaski
19.4537492;51.7690466;2137099444;Ko?ciuszki - Zielona
19.4535155;51.7687966;2137145454;Ko?ciuszki - Zielona
19.4182149;51.7026327;2137193887;Pabianicka - D?uga N?
19.0429943;50.203884;2137193897;Murcki Osiedle
19.5132379;51.7821347;2137362659;Telefoniczna - Chmurna
19.4181715;51.7029878;2137459662;Pabianicka - D?uga
20.8158238;51.0959824;2137700934;Wojska Polskiego / P?tla
19.0490331;50.2497951;2137878016;Katowice Porcelanowa
19.0345835;50.2537388;2137959319;Katowice Krasi?skiego
19.033206;50.2508521;2137959328;Osiedle Paderewskiego Biblioteka ?l?ska
19.0320699;50.2513248;2137959337;Osiedle Paderewskiego Biblioteka ?l?ska
19.0269413;50.2531078;2137966605;Katowice Francuska
19.0363134;50.2472795;2137970535;Osiedle Paderewskiego Graniczna
19.2768449;50.1105066;2578651097;Libi?? Paprocia
19.3585848;53.9652536;2580505923;""
15.5632749;51.8876793;2580995405;Drzonków Leśna
15.5640575;51.8889779;2580995424;Drzonków Wiewiórcza
15.5627676;51.8871161;2580995436;Drzonków
15.2562629;52.738388;2139188168;Rondo Solidarno?ci
18.3375088;50.0649413;2139669604;""
